mandt,matnr,aline,cdate,ctime,dat00,delb0,extra,umdat,auskt,mng01,mng02,p_ingestday,p_ingesttime
1,807165907,767,04/04/22,4:05:11,04/06/22,SchAgr,F3KXYH3/00001*,04/05/22,10,80,1,253.00,04/06/22,9
1,807165907,0,01/17/22,4:04:50,01/17/22,SafeSt,SafetyStock,,,120.000-,1,433.00,01/19/22,9
1,807165907,240,01/17/22,4:04:50,01/19/22,SchAgr,F3KXYH3/00001*,01/18/22,10,480,1,676.00,01/19/22,9
1,807165907,739,01/17/22,4:04:50,01/20/22,SchAgr,F3KXYH3/00001*,01/19/22,10,240,1,419.00,01/19/22,9
1,807165907,1022,11/08/21,4:05:17,11/11/21,SchAgr,F3KXYH3/00001,11/10/21,30,80,1,113.00,12/03/21,19
1,807165907,334,11/12/21,7:19:38,11/13/21,SchAgr,F3KXYH3/00001*,11/12/21,10,480,1,446.00,12/03/21,19
1,807165907,0,11/08/21,4:05:17,11/08/21,SafeSt,SafetyStock,,,120.000-,1,249.00,12/03/21,19
1,807165907,3538,11/30/21,7:19:39,12/15/21,SchAgr,F3KXYH3/00001,12/14/21,30,240,1,027.00,12/03/21,19
1,807165907,0,11/18/21,7:19:59,11/18/21,SafeSt,SafetyStock,,,120.000-,1,250.00,12/03/21,19
1,807165907,0,10/26/21,7:20:09,10/26/21,SafeSt,,,,,,12/03/21,19
1,807165907,0,11/03/21,7:22:56,11/03/21,SafeSt,,,,,,12/03/21,19
1,807165907,0,11/11/21,7:19:30,11/11/21,SafeSt,SafetyStock,,,120.000-,1,211.00,12/03/21,19
1,807165907,2333,11/30/21,7:19:39,12/08/21,SchAgr,F3KXYH3/00001,12/07/21,30,320,1,325.00,12/03/21,19
1,807165907,291,10/22/21,7:20:09,10/23/21,SchAgr,,,,,,12/03/21,19
1,807165907,3576,11/30/21,7:19:39,01/08/22,SchAgr,F3KXYH3/00001,01/07/22,30,320,1,036.00,12/03/21,19
1,807165907,1881,11/30/21,7:19:39,12/06/21,SchAgr,F3KXYH3/00001,12/04/21,30,480,1,054.00,12/03/21,19
1,807165907,3565,11/30/21,7:19:39,01/05/22,SchAgr,F3KXYH3/00001,01/04/22,30,240,1,098.00,12/03/21,19
1,807165907,3582,11/30/21,7:19:39,01/11/22,SchAgr,F3KXYH3/00001,01/10/22,30,320,1,096.00,12/03/21,19
1,807165907,1104,11/30/21,7:19:39,12/03/21,SchAgr,F3KXYH3/00001,12/02/21,30,160,1,028.00,12/03/21,19
1,807165907,0,11/19/21,7:19:32,11/19/21,SafeSt,SafetyStock,,,120.000-,1,335.00,12/03/21,19
1,807165907,0,11/09/21,7:20:22,11/09/21,SafeSt,SafetyStock,,,120.000-,1,296.00,12/03/21,19
1,807165907,0,11/30/21,7:19:39,11/30/21,SafeSt,SafetyStock,,,120.000-,1,325.00,12/03/21,19
1,807165907,3562,11/30/21,7:19:39,01/04/22,SchAgr,F3KXYH3/00001,12/23/21,30,400,1,035.00,12/03/21,19
1,807165907,2679,11/30/21,7:19:39,12/09/21,SchAgr,F3KXYH3/00001,12/08/21,30,240,1,220.00,12/03/21,19
1,807165907,3781,03/30/22,7:20:01,04/12/22,SchAgr,F3KXYH3/00001,04/11/22,30,240,1,624.00,04/04/22,14
1,807165907,0,12/07/21,7:19:38,12/07/21,SafeSt,SafetyStock,,,120.000-,1,322.00,12/09/21,9
1,807165907,0,12/06/21,4:04:51,12/06/21,SafeSt,SafetyStock,,,120.000-,1,164.00,12/08/21,9
